# The English for the synopsis lines -- the rows あらすじモード prints when you
# pick an event you have already seen. Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# The Japanese column is filled in by scripts/extract_summary_lines.js, which
# reads archives/Rance10EX_v1_04/37_あらすじデータ.x and keeps whatever English is
# already here. A line left blank stays Japanese in game.
#
# Keyed by the Japanese rather than by event, because the same phrase serves
# many events -- 戦闘開始 opens 85 of them -- and should be translated once.
# The order is the order the game's own table has, which is the order the
# story happens in: a line reads differently once you have read the one above.
#
# One row fits about twenty full-width characters (１２３４５６７８９０１２３４５６７８９０),
# which is both the placeholder in Game/Adv/SceneSummary.pactex and the ruler
# the designers left in field ００ of the table. Nothing wraps, so a longer
# line runs off the panel; the scripts below report which ones do.
#
# Translating a chunk at a time: scripts/summary_chunk.js prints the next
# untranslated rows as a prompt, scripts/summary_merge.js reads the reply back
# in. Nothing applies this file to the game yet -- the English still has to be
# written into 37_あらすじデータ.x, which is what npm run regenerate-ex builds.
にぽぽ温泉旅館	Nipopo Hot Spring Inn
世界が大ピンチです	The world is in dire trouble
砦は補給に苦労している	The fort struggles for supply
ポピンズの地下道と繋がっていない	The Poppins tunnels do not connect
補給路を繋げる岩盤割り	Breaking rock to link them up
坑道はついに開通した	The tunnel is through at last
ばんざーい	Hurrah
補給路は繋がった	The supply line is joined
自由都市、ＣＩＴＹ、ランス城	Free Cities, CITY, Rance Castle
戦争の状況を聞く	He hears how the war stands
サテラが魔物界に戻る	Satella returns to the demon world
ランスをうまく説得するシィル	Sill talks Rance round nicely
その夜	That night
香姫も食べ頃、いただく	Kouhime is ripe; he takes her
人類首脳会議	A summit of humanity's leaders
ランスが総統となり人類をまとめる	Rance becomes Supreme Commander
今回はリーザスへ向かう	This time, off to Leazas
女魔人か、楽しみだ	Female Fiends - he can't wait
その頃、リーザス北部の戦線	Meanwhile, the north Leazas front
魔人ラ・ハウゼルと戦いリックは負傷する	La Hawzel wounds Rick in the fight
リック、エクス、メナドの会話	Rick, Ex and Menad talk
リーザスの村に立ち寄る	A stop at a Leazas village
辺鄙な田舎だがずいぶん平和	Out of the way, but very peaceful
リアの為政のおかげらしい	Lia's rule, they say
その頃、リーザス南部の戦線	Meanwhile, the south Leazas front
テント内でバレスとコルドバの会話	Barres and Cordoba talk in the tent
今は膠着状態だがいつ崩れるかわからない	A stalemate that could break any time
寄り道してリーザス軍の陣地に立ち寄る	A detour to the Leazas army camp
アギレダとの再会	Agireda again
アギレダは怒っていた	and she is angry
魔物大将軍ヨシフ	Monster Great General Joseph
些細な疑いから次々と部下を処刑していく	The least doubt and he executes them
王都リーザス城に到着	They reach Leazas Castle
チルディとジュリアがお出迎え	Tilde and Julia greet them
リアに会って戦況の説明を受ける	Lia explains how the war stands
リアからの餞別	A parting gift from Lia
バレスの娘、ハウレーンが護衛に	Barres's daughter Haurein guards him
ダーリンの好きにしちゃっていいよ	Do what you like with me, darling
早速ハウレーンをいただく	He takes Haurein at once
それでは出発	Off they go, then
南部戦線の魔人シルキィ	Fiend Silky, on the southern front
北部戦線の魔人ハウゼル	Fiend Hawzel, on the northern front
どちらを目指す？	Which one?
シルキィに決めた	Silky it is
南部前線へ向かおう	Off to the southern front
ハウゼルに決めた	Hawzel it is
お供にリックが付いてきた	Rick comes along
少し迂回してスケールの街を目指す	A detour, making for the town of Scale
その頃、南部戦線	Meanwhile, the southern front
バレス、コルドバ、スーの会話	Barres, Cordoba and Sioux talk
戦況は不利、撤退を決断	Losing ground; they pull back
前線を目指すランス	Rance makes for the front
ハウレーンと会話	A talk with Haurein
なぜこんな男が伝説の魔剣の使い手に…	How did HE get the legendary sword...
リーザス砲兵部隊と遭遇	They meet the Leazas artillery
たくさんのマレスケ（チューリップ２号）が	Rows of Maleske - Tulip No. 2 -
設置されている	are set up here
カスタムから買い受けた虎の子部隊	Bought from Custom, their best
※要自由都市健在 内容若干変化	※Needs the Free Cities alive
魔人シルキィの脅威	The threat of Fiend Silky
バレスの撤退戦術	Barres's fighting retreat
誘い込んだ敵にマレスケの砲撃が炸裂	The Maleske guns rip them apart
ランス達がリーザス軍野営地に到着した	They reach the Leazas army camp
バレス、コルドバと会話	A talk with Barres and Cordoba
そしてスーとの再会	and Sioux again
野生児スーはとても成長していた	The wild child has grown a lot
その頃、ヨシフ軍司令部	Meanwhile, Joseph's HQ
魔軍の慰み者にされるシルキィ	Silky is the army's plaything
戦いが始まる	The battle starts
雑魚はバレスに任せる	Barres handles the small fry
魔人シルキィが現れた	Fiend Silky appears
出撃だ！	Out we go!
戦場でシルキィを捜す	Hunting Silky on the field
この辺りにはいないようだ	Not around here, it seems
シルキィに遭遇	They find Silky
サテラを見たシルキィは立ち去ってしまう	She sees Satella and leaves
追いかけるぞ	After her
シルキィは見つからない	Silky is nowhere to be found
チューリップ部隊と遭遇	They meet the Tulip unit
ついにシルキィを発見	Silky is found at last
シルキィはとんでもなく強かった	Silky was fearsomely strong
サテラの説得もむなしく	Satella's pleading is wasted
シルキィは立ち去ってしまう	and Silky walks away
こちらも一旦撤収する	They pull back too, for now
リーザス軍陣地	The Leazas army camp
日が暮れて今日の戦闘が終わる	Sundown ends the day's fighting
シルキィの過去	Silky's past
翌日	The next day
シルキィは戦場にいないようだ	Silky is not on the field
少し暴れるぞ	Time for a little mayhem
昨日の陵辱が激しすぎて	Yesterday's violation was too much
シルキィは動けなくなっていた	and Silky cannot move
魔物将軍を発見した	A Monster General is found
戦うか、それとも体力温存するか	Fight, or save your strength?
その頃、リーザス軍司令部	Meanwhile, Leazas army HQ
次々と指示を飛ばしてゆくバレス	Barres fires off order after order
勝てないが負けることも許されない	They cannot win, nor may they lose
厳しい戦い	A hard fight
戦場、ランス	The field, and Rance
結構戦った	A good deal of fighting
敵を発見したがさてどうするか	An enemy sighted - now what?
その頃、魔軍司令部ヨシフ	Meanwhile, Joseph at enemy HQ
前列の部隊に弓を射かけよ、死ぬ気で戦え	Shoot the front rank; fight or die
シルキィの姿が見えない…	Silky is nowhere to be seen...
一旦司令部に戻る	Back to HQ for now
　触手とバレス	Tentacles and Barres
魔人シルキィの居場所が判明	Silky's whereabouts come to light
リーザス城へ	To Leazas Castle
その頃	Meanwhile
一人、リーザス城に向かうシルキィ	Silky heads for Leazas Castle alone
シルキィが乗り込む	Silky forces her way in
レイラ、チルディ、ジュリア、親衛隊……	Leila, Tilde, Julia, the guard...
誰にも止められない	None of them can stop her
ランスがリーザス城に到着	Rance reaches Leazas Castle
急ぐぞ	Hurry
なぜか城の廊下に幽霊がはびこっている	Ghosts are all over the corridors
ジュリア「……ごめんね？」	Julia: '...sorry?'
リアの元にたどり着くシルキィ	Silky reaches Lia
魔封印結界発動	The Magic Sealing Barrier fires
そこにランス達が登場	then Rance and the rest arrive
シルキィは自力で結界を破ってしまう	Silky breaks the barrier herself
しかし、大きく消耗したようだ	but it cost her dearly
シルキィに勝利	Silky is beaten
悪戯するランス	Rance gets handsy
シルキィは隙を突きランスの首に刃を当てる	She takes the opening; blade to throat
降参してくれ……	Surrender, please...
分かった、降参する…	All right, I surrender...
ランスはギロチンにかけられてしまった	Rance goes to the guillotine
降参はしない	No surrender
それよりも、お前俺の部下になれ	Better idea - serve under me
人類は負けない、ホーネットも助けてやる	Humanity wins, and Hornet gets saved
全部俺様に任せておけ	Leave the lot of it to me
シルキィ敗北の報が両軍に伝わる	Word of Silky's defeat spreads
崩れる魔軍、反撃するリーザス軍……	The enemy breaks; Leazas hits back
リーザス軍は大勝利を収めた	The Leazas army wins the day
シルキィが仲間に加わった	Silky joins the party
あの女はすぐには犯さない	He will not take her right away
ゆっくり落としてめろめろにしてやる	Slowly, until she is besotted
ぐふふ……	Heh heh heh...
リプ商店街に到着	They reach Lip Shopping District
世界一長い商店街	The longest arcade in the world
ジュリアが案内する	Julia shows them round
買い物しながらのんびり進む	Shopping, at an easy pace
リックにパシらせる	Rick gets sent on errands
人生浪漫通り	Life Romance Street
娯楽施設が集まった一角	the quarter of amusements
専門店通り	Specialist Shop Street
マニアックな店がいっぱい	full of niche little shops
その頃、北部戦線	Meanwhile, the northern front
メナドが奮闘しエクスは智謀を巡らせる	Menad fights, Ex schemes
プリティリアに到着	They reach Pritilia
観光は飽きたので素通りする	Bored of sightseeing; straight past
今は、ケイブリスに従う	For now, they follow Kayblis
遠くで眺めるサイゼルとユキ	Seizel and Yuki watch from afar
スケールの街に到着	They reach the town of Scale
司令部に向かう	On to the command post
エクスの挨拶	Ex greets them
メナドと再会	Menad again
ハウゼルを探す	Hunting for Hawzel
ハウゼルとサイゼルの説明	Hawzel and Seizel explained
その頃、ハウゼル	Meanwhile, Hawzel
一騎打ちを申し出るリーザス兵	A Leazas soldier offers a duel
ハウゼルは素直に受ける	and Hawzel simply accepts
遠方に火柱が立つ	A pillar of fire in the distance
ハウゼルに違いない	That has to be Hawzel
ハウゼルの居場所に到着	They reach where Hawzel is
サイゼル登場、姉妹喧嘩が始まる	Seizel arrives; the sisters row
サイゼルは立ち去る	Seizel walks off
ハウゼルと戦闘開始	The fight with Hawzel begins
飛び去るハウゼル	Hawzel flies away
本が落ちていた	A book lies on the ground
